21:17:55.650 > # iq_dump pairs=2048 fs_hz=31250 att=0
21:17:55.650 > # format: i,q (signed int16)
21:17:55.650 > -1090,-938
21:17:55.650 > -925,-718
21:17:55.650 > -704,-480
21:17:55.650 > -493,-260
21:17:55.650 > -266,-6
21:17:55.650 > -5,241
21:17:55.650 > 250,502
21:17:55.661 > 496,768
21:17:55.661 > 715,906
21:17:55.661 > 911,1106
21:17:55.661 > 1056,1192
21:17:55.661 > 1182,1281
21:17:55.661 > 1250,1274
21:17:55.661 > 1266,1258
21:17:55.661 > 1247,1184
21:17:55.661 > 1182,1030
21:17:55.661 > 1043,886
21:17:55.661 > 842,642
21:17:55.661 > 642,408
21:17:55.661 > 407,170
21:17:55.661 > 167,-72
21:17:55.672 > -89,-315
21:17:55.672 > -357,-588
21:17:55.672 > -590,-773
21:17:55.672 > -794,-975
21:17:55.672 > -980,-1088
21:17:55.672 > -1126,-1236
21:17:55.672 > -1226,-1299
21:17:55.672 > -1294,-1292
21:17:55.672 > -1286,-1216
21:17:55.672 > -1233,-1130
21:17:55.672 > -1137,-971
21:17:55.672 > -973,-746
21:17:55.683 > -774,-540
21:17:55.683 > -565,-285
21:17:55.683 > -327,-55
21:17:55.683 > -70,166
21:17:55.683 > 159,454
21:17:55.683 > 412,706
21:17:55.683 > 654,873
21:17:55.683 > 858,1043
21:17:55.683 > 1044,1186
21:17:55.683 > 1175,1270
21:17:55.683 > 1240,1300
21:17:55.683 > 1264,1262
21:17:55.683 > 1249,1186
21:17:55.683 > 1170,1072
21:17:55.695 > 1049,922
21:17:55.695 > 880,712
21:17:55.695 > 680,482
21:17:55.695 > 481,264
21:17:55.695 > 246,6
21:17:55.695 > -17,-227
21:17:55.695 > -279,-540
21:17:55.695 > -528,-746
21:17:55.695 > -756,-951
21:17:55.695 > -948,-1087
21:17:55.695 > -1103,-1205
21:17:55.695 > -1210,-1291
21:17:55.695 > -1265,-1275
21:17:55.706 > -1278,-1216
21:17:55.706 > -1243,-1139
21:17:55.706 > -1155,-1021
21:17:55.706 > -1014,-827
21:17:55.706 > -842,-618
21:17:55.706 > -629,-376
21:17:55.706 > -394,-125
21:17:55.706 > -142,116
21:17:55.706 > 117,397
21:17:55.706 > 380,650
21:17:55.706 > 617,838
21:17:55.706 > 819,996
21:17:55.706 > 1002,1144
21:17:55.717 > 1122,1221
21:17:55.717 > 1203,1292
21:17:55.717 > 1254,1279
21:17:55.717 > 1258,1200
21:17:55.717 > 1209,1134
21:17:55.717 > 1104,970
21:17:55.717 > 952,769
21:17:55.717 > 749,536
21:17:55.717 > 513,300
21:17:55.717 > 263,40
21:17:55.717 > 12,-189
21:17:55.717 > -220,-471
21:17:55.717 > -456,-685
21:17:55.717 > -684,-860
21:17:55.728 > -877,-1024
21:17:55.728 > -1054,-1171
21:17:55.728 > -1182,-1278
21:17:55.728 > -1260,-1297
21:17:55.728 > -1310,-1272
21:17:55.728 > -1287,-1179
21:17:55.728 > -1195,-1057
21:17:55.728 > -1059,-885
21:17:55.728 > -873,-634
